hess_rows_adaptive, hess_cols_adaptive, hess_rows_casadi, hess_cols_casadi
3, 0, 3, 29
5, 0, 5, 29
6, 0, 7, 29
8, 0, 9, 29
9, 0, 11, 29
11, 0, 13, 29
12, 0, 15, 29
14, 0, 17, 29
15, 0, 19, 29
17, 0, 20, 29
18, 0, 21, 29
20, 0, 22, 29
21, 0, 23, 29
23, 0, 24, 29
24, 0, 25, 29
26, 0, 26, 29
27, 0, 27, 29
29, 0, 28, 29
-1,-1,-1,-1
3, 0, 3, 38
5, 0, 5, 38
6, 0, 7, 38
8, 0, 9, 38
9, 0, 11, 38
11, 0, 13, 38
12, 0, 15, 38
14, 0, 17, 38
15, 0, 19, 38
17, 0, 21, 38
18, 0, 23, 38
20, 0, 25, 38
21, 0, 26, 38
23, 0, 27, 38
24, 0, 28, 38
26, 0, 29, 38
27, 0, 30, 38
29, 0, 31, 38
31, 0, 32, 38
32, 0, 33, 38
34, 0, 34, 38
35, 0, 35, 38
37, 0, 36, 38
38, 0, 37, 38
-1,-1,-1,-1
3, 0, 3, 47
5, 0, 5, 47
6, 0, 7, 47
8, 0, 9, 47
9, 0, 11, 47
11, 0, 13, 47
12, 0, 15, 47
14, 0, 17, 47
15, 0, 19, 47
17, 0, 21, 47
18, 0, 23, 47
20, 0, 25, 47
21, 0, 27, 47
23, 0, 29, 47
24, 0, 31, 47
26, 0, 32, 47
27, 0, 33, 47
29, 0, 34, 47
31, 0, 35, 47
32, 0, 36, 47
34, 0, 37, 47
35, 0, 38, 47
37, 0, 39, 47
38, 0, 40, 47
40, 0, 41, 47
41, 0, 42, 47
43, 0, 43, 47
44, 0, 44, 47
46, 0, 45, 47
47, 0, 46, 47
-1,-1,-1,-1
3, 0, 3, 56
5, 0, 5, 56
6, 0, 7, 56
8, 0, 9, 56
9, 0, 11, 56
11, 0, 13, 56
12, 0, 15, 56
14, 0, 17, 56
15, 0, 19, 56
17, 0, 21, 56
18, 0, 23, 56
20, 0, 25, 56
21, 0, 27, 56
23, 0, 29, 56
24, 0, 31, 56
26, 0, 33, 56
27, 0, 35, 56
29, 0, 37, 56
31, 0, 38, 56
32, 0, 39, 56
34, 0, 40, 56
35, 0, 41, 56
37, 0, 42, 56
38, 0, 43, 56
40, 0, 44, 56
41, 0, 45, 56
43, 0, 46, 56
44, 0, 47, 56
46, 0, 48, 56
47, 0, 49, 56
49, 0, 50, 56
50, 0, 51, 56
52, 0, 52, 56
53, 0, 53, 56
55, 0, 54, 56
56, 0, 55, 56
-1,-1,-1,-1
3, 0, 3, 62
5, 0, 5, 62
6, 0, 7, 62
8, 0, 9, 62
9, 0, 11, 62
11, 0, 13, 62
12, 0, 15, 62
14, 0, 17, 62
15, 0, 19, 62
17, 0, 21, 62
18, 0, 23, 62
20, 0, 25, 62
21, 0, 27, 62
23, 0, 29, 62
24, 0, 31, 62
26, 0, 33, 62
27, 0, 35, 62
29, 0, 37, 62
31, 0, 39, 62
32, 0, 41, 62
34, 0, 42, 62
35, 0, 43, 62
37, 0, 44, 62
38, 0, 45, 62
40, 0, 46, 62
41, 0, 47, 62
43, 0, 48, 62
44, 0, 49, 62
46, 0, 50, 62
47, 0, 51, 62
49, 0, 52, 62
50, 0, 53, 62
52, 0, 54, 62
53, 0, 55, 62
55, 0, 56, 62
56, 0, 57, 62
58, 0, 58, 62
59, 0, 59, 62
61, 0, 60, 62
62, 0, 61, 62
-1,-1,-1,-1
3, 0, 3, 68
5, 0, 5, 68
6, 0, 7, 68
8, 0, 9, 68
9, 0, 11, 68
11, 0, 13, 68
12, 0, 15, 68
14, 0, 17, 68
15, 0, 19, 68
17, 0, 21, 68
18, 0, 23, 68
20, 0, 25, 68
21, 0, 27, 68
23, 0, 29, 68
24, 0, 31, 68
26, 0, 33, 68
27, 0, 35, 68
29, 0, 37, 68
31, 0, 39, 68
32, 0, 41, 68
34, 0, 43, 68
35, 0, 45, 68
37, 0, 46, 68
38, 0, 47, 68
40, 0, 48, 68
41, 0, 49, 68
43, 0, 50, 68
44, 0, 51, 68
46, 0, 52, 68
47, 0, 53, 68
49, 0, 54, 68
50, 0, 55, 68
52, 0, 56, 68
53, 0, 57, 68
55, 0, 58, 68
56, 0, 59, 68
58, 0, 60, 68
59, 0, 61, 68
61, 0, 62, 68
62, 0, 63, 68
64, 0, 64, 68
65, 0, 65, 68
67, 0, 66, 68
68, 0, 67, 68
-1,-1,-1,-1
3, 0, 3, 65
5, 0, 5, 65
6, 0, 7, 65
8, 0, 9, 65
9, 0, 11, 65
11, 0, 13, 65
12, 0, 15, 65
14, 0, 17, 65
15, 0, 19, 65
17, 0, 21, 65
18, 0, 23, 65
20, 0, 25, 65
21, 0, 27, 65
23, 0, 29, 65
24, 0, 31, 65
26, 0, 33, 65
27, 0, 35, 65
29, 0, 37, 65
31, 0, 39, 65
32, 0, 41, 65
34, 0, 43, 65
35, 0, 44, 65
37, 0, 45, 65
38, 0, 46, 65
40, 0, 47, 65
41, 0, 48, 65
43, 0, 49, 65
44, 0, 50, 65
46, 0, 51, 65
47, 0, 52, 65
49, 0, 53, 65
50, 0, 54, 65
52, 0, 55, 65
53, 0, 56, 65
55, 0, 57, 65
56, 0, 58, 65
58, 0, 59, 65
59, 0, 60, 65
61, 0, 61, 65
62, 0, 62, 65
64, 0, 63, 65
65, 0, 64, 65
-1,-1,-1,-1
3, 0, 3, 74
5, 0, 5, 74
6, 0, 7, 74
8, 0, 9, 74
9, 0, 11, 74
11, 0, 13, 74
12, 0, 15, 74
14, 0, 17, 74
15, 0, 19, 74
17, 0, 21, 74
18, 0, 23, 74
20, 0, 25, 74
21, 0, 27, 74
23, 0, 29, 74
24, 0, 31, 74
26, 0, 33, 74
27, 0, 35, 74
29, 0, 37, 74
31, 0, 39, 74
32, 0, 41, 74
34, 0, 43, 74
35, 0, 45, 74
37, 0, 47, 74
38, 0, 49, 74
40, 0, 50, 74
41, 0, 51, 74
43, 0, 52, 74
44, 0, 53, 74
46, 0, 54, 74
47, 0, 55, 74
49, 0, 56, 74
50, 0, 57, 74
52, 0, 58, 74
53, 0, 59, 74
55, 0, 60, 74
56, 0, 61, 74
58, 0, 62, 74
59, 0, 63, 74
61, 0, 64, 74
62, 0, 65, 74
64, 0, 66, 74
65, 0, 67, 74
67, 0, 68, 74
68, 0, 69, 74
70, 0, 70, 74
71, 0, 71, 74
73, 0, 72, 74
74, 0, 73, 74
-1,-1,-1,-1
