circle 0,circle 1,circle 2,circle 3,circle 4,circle 5,circle 6,circle 7,circle 8,circle 9,circle 10
40,35,45,47,46,55,50.5,49,3.9,14,23
2.5,1.2,9.5,7,0,8.5,3,2.5,1.2,3,5.2
2,1,3.3,1.2,1.9,4.8,0.8,1.3,2.7,2.7,2.7
r,r,r,r,r,r,r,r,b,b,b
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,0
1,1,1,1,1,0,0,1,0,0,0
1,1,1,1,1,0,0,1,0,0,0
1,1,1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
1,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,1,1,1,1,1,1,0,0,0
0,0,0,1,1,1,1,1,0,0,0
0,0,0,1,0,1,1,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
