t_solve, t_update, t_total
51.1133,0,51.1133
12.2623,0.095919,12.3582
18.9465,0.10035,19.0469
19.9699,0.138277,20.1082
17.0004,0.093953,17.0943
20.823,0.121298,20.9443
19.4974,0.116517,19.6139
20.671,0.156204,20.8272
20.5057,0.095748,20.6014
15.3974,0.091809,15.4892
20.8155,0.147,20.9625
20.472,0.178372,20.6504
21.6623,0.199566,21.8619
20.3697,0.109485,20.4792
17.3668,0.105611,17.4724
22.3534,0.197402,22.5508
23.1385,0.206751,23.3452
20.771,0.115114,20.8862
20.6366,0.107329,20.7439
23.885,0.128444,24.0134
21.3142,0.110873,21.425
18.1947,0.103706,18.2984
21.0219,0.219547,21.2414
22.7828,0.185738,22.9685
20.2287,0.11221,20.3409
17.1154,0.103385,17.2188
21.8338,0.17591,22.0097
24.7212,0.114309,24.8355
21.6196,0.106354,21.726
34.3439,0.112527,34.4564
22.2112,0.126577,22.3378
22.5312,0.495044,23.0262
19.9081,0.106166,20.0142
24.764,0.1064,24.8704
21.8383,0.11402,21.9523
25.4663,0.103536,25.5699
25.1057,0.246691,25.3524
23.6321,0.209303,23.8414
23.3354,0.173037,23.5085
20.9372,0.106081,21.0433
22.4564,0.119634,22.576
23.9258,0.201138,24.1269
21.883,0.100631,21.9837
26.2162,0.15898,26.3752
28.5853,0.15169,28.737
21.6326,0.103749,21.7364
20.009,0.092759,20.1017
20.2912,0.096726,20.388
23.5359,0.234707,23.7706
22.2667,0.123527,22.3902
23.0249,0.11774,23.1426
22.6651,0.216647,22.8817
22.8018,0.17741,22.9793
33.1493,0.207171,33.3564
23.6008,0.197145,23.798
23.5128,0.138982,23.6517
25.7692,0.149375,25.9186
21.8702,0.136513,22.0067
26.3294,0.12283,26.4523
20.8527,0.164183,21.0168
15.9259,0.113238,16.0392
18.1172,0.195684,18.3129
18.4097,0.188651,18.5984
17.8962,0.1413,18.0375
15.4887,0.267211,15.7559
16.4182,0.176806,16.595
18.9757,0.150432,19.1261
21.1446,0.221715,21.3663
19.985,0.142459,20.1275
19.2458,0.129499,19.3753
23.26,0.193004,23.453
22.8069,0.162408,22.9693
18.8628,0.143619,19.0064
19.5746,0.118645,19.6932
24.889,0.113213,25.0022
19.5157,0.160649,19.6764
16.7292,0.118223,16.8474
20.2109,0.194874,20.4058
20.6739,0.200466,20.8744
22.2932,0.230453,22.5237
21.6456,0.121511,21.7671
17.5735,0.123051,17.6966
18.3602,0.128763,18.489
16.4446,0.154859,16.5994
14.8943,0.227813,15.1222
17.8558,0.15107,18.0069
14.9969,0.175355,15.1723
15.0061,0.125581,15.1317
15.4745,0.125142,15.5997
15.043,0.127491,15.1705
16.206,0.152895,16.3588
15.4804,0.137355,15.6177
16.7492,0.153178,16.9024
16.3196,0.138506,16.4581
18.3215,0.147469,18.469
19.3121,0.119257,19.4313
20.3416,0.139111,20.4807
19.5631,0.328444,19.8915
18.8457,0.227961,19.0737
19.135,0.122697,19.2577
17.5575,0.144638,17.7021
17.2009,0.127498,17.3284
18.2506,0.127481,18.3781
28.9964,0.11382,29.1102
16.5964,0.140355,16.7367
17.3238,0.117809,17.4416
17.0612,0.125838,17.187
17.1738,0.125249,17.299
15.1194,0.116985,15.2364
24.23,0.118019,24.3481
66.8847,0.396014,67.2807
28.5895,0.406928,28.9964
24.5557,0.220411,24.7762
17.1724,0.218174,17.3906
14.6053,0.128166,14.7334
11.0473,0.126963,11.1743
13.5296,0.17464,13.7043
15.1074,0.100628,15.208
16.1059,0.114486,16.2204
14.334,0.103311,14.4373
13.5936,0.094581,13.6881
10.0155,0.105697,10.1212
12.6403,0.18937,12.8297
14.3515,0.096832,14.4483
14.3991,0.098035,14.4971
14.4667,0.133465,14.6002
9.81565,0.09469,9.91034
13.986,0.257722,14.2437
14.2834,0.127327,14.4107
14.6143,0.098401,14.7127
19.9775,0.128603,20.105
